Designator,Mid X,Mid Y,Rotation,Layer
C1,98.5,-69.25,270.0,top
C2,101.5,-69.25,270.0,top
C3,104.0,-73.45,90.0,top
C4,111.35,-78.0,180.0,top
C5,107.85,-78.0,0.0,top
C6,107.05,-92.0,0.0,top
C7,110.55,-92.0,0.0,top
D11,36.0,-61.5,0.0,top
D21,59.0,-61.5,0.0,top
D31,82.0,-61.5,0.0,top
D41,36.0,-72.5,0.0,top
D51,59.0,-72.5,0.0,top
D61,82.0,-72.5,0.0,top
J1,24.0,-57.26,0.0,top
J3,91.585,-92.5,90.0,top
J5,67.2,-52.5,0.0,top
J6,65.0,-45.2,0.0,top
Q11,37.27,-67.0,90.0,top
Q21,60.27,-67.0,90.0,top
Q31,83.27,-67.0,90.0,top
Q41,37.27,-78.0,90.0,top
Q51,60.27,-78.0,90.0,top
Q61,83.27,-78.0,90.0,top
Q71,37.27,-88.0,270.0,top
R1,107.05,-94.25,180.0,top
R11,32.27,-67.0,0.0,top
R12,42.27,-61.5,0.0,top
R13,42.27,-67.0,0.0,top
R21,55.27,-67.0,0.0,top
R22,65.27,-61.5,0.0,top
R23,65.27,-67.0,0.0,top
R31,78.27,-67.0,0.0,top
R32,88.27,-61.5,0.0,top
R33,88.27,-67.0,0.0,top
R41,32.27,-78.0,0.0,top
R42,42.27,-72.5,0.0,top
R43,42.27,-78.0,0.0,top
R51,55.27,-78.0,0.0,top
R52,65.27,-72.5,0.0,top
R53,65.27,-78.0,0.0,top
R61,78.27,-78.0,0.0,top
R62,88.27,-72.5,0.0,top
R63,88.27,-78.0,0.0,top
R71,42.27,-87.0,180.0,top
R72,32.27,-89.0,0.0,top
SW1,36.5,-112.0,0.0,top
SW2,54.0,-112.0,0.0,top
SW3,71.5,-112.0,0.0,top
SW4,106.75,-112.0,0.0,top
SW5,124.25,-112.0,0.0,top
SW6,141.75,-112.0,0.0,top
U1,100.0,-74.15,270.0,top
U2,110.0,-85.0,270.0,top
